incorrect,correct,error_type
She entered into the room.,She entered the room.,Preposition: extra preposition
He waits in teacher.,He waits for teacher.,Preposition: wrong preposition
We has an one.,We has a one.,Article: a vs an
You went every day.,You study every day.,Tense: Present to Past
She has the water.,She has water.,Article: extra article
She waits house.,She waits for house.,Preposition: missing preposition
This teachers are expensive.,These books are expensive.,Determiner: this vs these
She has a umbrella.,She has an umbrella.,Article: a vs an
She talked often.,She sleeps often.,Tense: Present to Past
We wants the water.,We wants water.,Article: extra article
She waits answer.,She waits for answer.,Preposition: missing preposition
Everyone have their books.,Everyone has his or her book.,Pronoun: agreement
We wait about book.,We wait for book.,Preposition: wrong preposition
I watch yesterday.,I am watching yesterday.,Tense: Present Continuous to Simple
She plays always.,She will play always.,Tense: Future to Present
They depend between mistake.,They depend on mistake.,Preposition: wrong preposition
He gos next month.,He walked next month.,Tense: Past to Present
It is the water.,It is water.,Article: extra article
I enjoy to read books.,I enjoy reading books.,Misc: infinitive vs gerund
You was cat.,You was a cat.,Article: missing article
Do you have some dogs?,Do you have any dogs?,Determiner: some vs any
I don't have nothing.,I don't have anything.,Misc: double negative
I like very much chocolate.,I like chocolate very much.,Misc: word order
Its a beautiful day.,It's a beautiful day.,Pronoun: possessive
We talk next month.,We wrote next month.,Tense: Past to Present
I did it by me.,I did it by myself.,Pronoun: reflexive
You watched now.,You sleep now.,Tense: Present to Past
I is interested of movie.,I is interested in movie.,Preposition: wrong preposition
We don't have some teachers.,We don't have any teachers.,Determiner: some vs any
You bought an important car.,You bought a important car.,Article: a vs an
Somebody are here.,Somebody is here.,Pronoun: agreement
Do you have some students?,Do you have any students?,Determiner: some vs any
It writes every day.,It will write every day.,Tense: Future to Present
We saw the city.,We saw a city.,Article: wrong article
I don't have many information.,I don't have much information.,Determiner: much vs many
I study every day.,I am studying every day.,Tense: Present Continuous to Simple
She sleeps next month.,She slept next month.,Tense: Past to Present
You talk solution.,You talk about solution.,Preposition: missing preposition
She is the most smartest.,She is the smartest.,Misc: comparative/superlative
I did it by me.,I did it by myself.,Pronoun: reflexive
She talks every day.,She will talk every day.,Tense: Future to Present
"If I will see him, I will tell him.","If I see him, I will tell him.",Misc: conditional
"If I was you, I would go.","If I were you, I would go.",Misc: conditional
I did it by me.,I did it by myself.,Pronoun: reflexive
She wants going home.,She wants to go home.,Misc: infinitive vs gerund
Nobody have their books.,Nobody has his or her book.,Pronoun: agreement
Everyone have their books.,Everyone has his or her book.,Pronoun: agreement
Me and John went to the store.,John and I went to the store.,Pronoun: subject vs object
They listen friend.,They listen to friend.,Preposition: missing preposition
I like very much chocolate.,I like chocolate very much.,Misc: word order
I did it by me.,I did it by myself.,Pronoun: reflexive
These city is expensive.,This job is expensive.,Determiner: this vs these
I have little schools.,I have few schools.,Determiner: few vs little
I don't have many water.,I don't have much water.,Determiner: much vs many
I like very much chocolate.,I like chocolate very much.,Misc: word order
He studys tomorrow.,He ate tomorrow.,Tense: Past to Present
I have little houses.,I have few houses.,Determiner: few vs little
We read next month.,We will read next month.,Tense: Future to Present
I did it by me.,I did it by myself.,Pronoun: reflexive
There is few time left.,There is little time left.,Determiner: few vs little
You needs the cat.,You needs a cat.,Article: wrong article
He went next month.,He has went next month.,Tense: Present Perfect to Simple Past
I don't have many information.,I don't have much information.,Determiner: much vs many
We was an beautiful book.,We was a beautiful book.,Article: a vs an
She gave the book to John and I.,She gave the book to John and me.,Pronoun: subject vs object
She don't have some cats.,She don't have any cats.,Determiner: some vs any
He sleeps now.,He went now.,Tense: Past to Present
It entered into the room.,It entered the room.,Preposition: extra preposition
I talked often.,I have talked often.,Tense: Present Perfect to Simple Past
She wants going home.,She wants to go home.,Misc: infinitive vs gerund
You sleep sometimes.,You are sleeping sometimes.,Tense: Present Continuous to Simple
I entered into the room.,I entered the room.,Preposition: extra preposition
She reads always.,She ate always.,Tense: Past to Present
Nobody have their books.,Nobody has his or her book.,Pronoun: agreement
You entered into the room.,You entered the room.,Preposition: extra preposition
There is few milk left.,There is little milk left.,Determiner: few vs little
You study sometimes.,You watched sometimes.,Tense: Past to Present
We saw old movie.,We saw a old movie.,Article: missing article
Somebody have their books.,Somebody has his or her book.,Pronoun: agreement
Somebody are here.,Somebody is here.,Pronoun: agreement
Me and John went to the store.,John and I went to the store.,Pronoun: subject vs object
These mistake is expensive.,This question is expensive.,Determiner: this vs these
You is the advice.,You is advice.,Article: extra article
We bought an car.,We bought a car.,Article: a vs an
They interested movie.,They interested in movie.,Preposition: missing preposition
They saw expensive answer.,They saw a expensive answer.,Article: missing article
Somebody have their books.,Somebody has his or her book.,Pronoun: agreement
There is much schools here.,There are many schools here.,Determiner: much vs many
I did it by me.,I did it by myself.,Pronoun: reflexive
"If I was you, I would go.","If I were you, I would go.",Misc: conditional
It gos book.,It gos through book.,Preposition: missing preposition
We needs the cat.,We needs a cat.,Article: wrong article
Its a beautiful day.,It's a beautiful day.,Pronoun: possessive
"If I will see him, I will tell him.","If I see him, I will tell him.",Misc: conditional
There is few patience left.,There is little patience left.,Determiner: few vs little
We is interested to mistake.,We is interested in mistake.,Preposition: wrong preposition
There is few patience left.,There is little patience left.,Determiner: few vs little
I like very much chocolate.,I like chocolate very much.,Misc: word order
I enjoy to read books.,I enjoy reading books.,Misc: infinitive vs gerund
This houses are expensive.,These students are expensive.,Determiner: this vs these
We good cat.,We good at cat.,Preposition: missing preposition
She is the most smartest.,She is the smartest.,Misc: comparative/superlative
We run tomorrow.,We will run tomorrow.,Tense: Future to Present
We entered into the room.,We entered the room.,Preposition: extra preposition
"If I will see him, I will tell him.","If I see him, I will tell him.",Misc: conditional
She depends cat.,She depends on cat.,Preposition: missing preposition
"If I will see him, I will tell him.","If I see him, I will tell him.",Misc: conditional
She studied now.,She has studied now.,Tense: Present Perfect to Simple Past
"If I was you, I would go.","If I were you, I would go.",Misc: conditional
It watchs sometimes.,It watched sometimes.,Tense: Past to Present
I like very much chocolate.,I like chocolate very much.,Misc: word order
She is the city.,She is a city.,Article: wrong article
They talk sometimes.,They ate sometimes.,Tense: Past to Present
I has a interesting umbrella.,I has an interesting umbrella.,Article: a vs an
It entered into the room.,It entered the room.,Preposition: extra preposition
Me and John went to the store.,John and I went to the store.,Pronoun: subject vs object
I don't have nothing.,I don't have anything.,Misc: double negative
We was the money.,We was money.,Article: extra article
I is interested with question.,I is interested in question.,Preposition: wrong preposition
I study next month.,I will study next month.,Tense: Future to Present
They don't have some teachers.,They don't have any teachers.,Determiner: some vs any
I work often.,I wrote often.,Tense: Past to Present
That book is your's.,That book is yours.,Pronoun: possessive
It has answer.,It has a answer.,Article: missing article
It don't have some schools.,It don't have any schools.,Determiner: some vs any
I don't have nothing.,I don't have anything.,Misc: double negative
She has important house.,She has a important house.,Article: missing article
There is much schools here.,There are many schools here.,Determiner: much vs many
I don't have many time.,I don't have much time.,Determiner: much vs many
I entered into the room.,I entered the room.,Preposition: extra preposition
You was the difficult student.,You was a difficult student.,Article: wrong article
You studied next month.,You have studied next month.,Tense: Present Perfect to Simple Past
She eats sometimes.,She will eat sometimes.,Tense: Future to Present
It entered into the room.,It entered the room.,Preposition: extra preposition
I like very much chocolate.,I like chocolate very much.,Misc: word order
It wrote yesterday.,It has wrote yesterday.,Tense: Present Perfect to Simple Past
I don't have many money.,I don't have much money.,Determiner: much vs many
They depend at student.,They depend on student.,Preposition: wrong preposition
She wants going home.,She wants to go home.,Misc: infinitive vs gerund
I don't have nothing.,I don't have anything.,Misc: double negative
She wants going home.,She wants to go home.,Misc: infinitive vs gerund
I have little teachers.,I have few teachers.,Determiner: few vs little
It entered into the room.,It entered the room.,Preposition: extra preposition
They play often.,They are playing often.,Tense: Present Continuous to Simple
Do you have some teachers?,Do you have any teachers?,Determiner: some vs any
"If I was you, I would go.","If I were you, I would go.",Misc: conditional
He don't have some houses.,He don't have any houses.,Determiner: some vs any
I like very much chocolate.,I like chocolate very much.,Misc: word order
These friend is expensive.,This question is expensive.,Determiner: this vs these
You was a hour.,You was an hour.,Article: a vs an
She entered into the room.,She entered the room.,Preposition: extra preposition
I have little friends.,I have few friends.,Determiner: few vs little
She gave the book to John and I.,She gave the book to John and me.,Pronoun: subject vs object
It is interested to job.,It is interested in job.,Preposition: wrong preposition
I has mistake.,I has a mistake.,Article: missing article
She eats often.,She will eat often.,Tense: Future to Present
I did it by me.,I did it by myself.,Pronoun: reflexive
It bought the information.,It bought information.,Article: extra article
We talked every day.,We eat every day.,Tense: Present to Past
We go at solution.,We go into solution.,Preposition: wrong preposition
That book is your's.,That book is yours.,Pronoun: possessive
They entered into the room.,They entered the room.,Preposition: extra preposition
Its a beautiful day.,It's a beautiful day.,Pronoun: possessive
We run tomorrow.,We watched tomorrow.,Tense: Past to Present
Do you have some books?,Do you have any books?,Determiner: some vs any
Nobody have their books.,Nobody has his or her book.,Pronoun: agreement
She talks every day.,She will talk every day.,Tense: Future to Present
I go often.,I ate often.,Tense: Past to Present
That book is your's.,That book is yours.,Pronoun: possessive
They bought the new question.,They bought a new question.,Article: wrong article
She was a hour.,She was an hour.,Article: a vs an
This is more better.,This is better.,Misc: comparative/superlative
Its a beautiful day.,It's a beautiful day.,Pronoun: possessive
"If I will see him, I will tell him.","If I see him, I will tell him.",Misc: conditional
Each student are here.,Each student is here.,Pronoun: agreement
I is an important uniform.,I is a important uniform.,Article: a vs an
There is few milk left.,There is little milk left.,Determiner: few vs little
These mistake is expensive.,This city is expensive.,Determiner: this vs these
Somebody are here.,Somebody is here.,Pronoun: agreement
She gos house.,She gos through house.,Preposition: missing preposition
Nobody are here.,Nobody is here.,Pronoun: agreement
I read always.,I will read always.,Tense: Future to Present
He has dog.,He has a dog.,Article: missing article
He saw the money.,He saw money.,Article: extra article
I worked next month.,I have worked next month.,Tense: Present Perfect to Simple Past
I did it by me.,I did it by myself.,Pronoun: reflexive
You needs the question.,You needs a question.,Article: wrong article
It watchs now.,It is watching now.,Tense: Present Continuous to Simple
I don't have nothing.,I don't have anything.,Misc: double negative
"If I will see him, I will tell him.","If I see him, I will tell him.",Misc: conditional
You good teacher.,You good with teacher.,Preposition: missing preposition
Do you have some cities?,Do you have any cities?,Determiner: some vs any
She gave the book to John and I.,She gave the book to John and me.,Pronoun: subject vs object
He looks idea.,He looks for idea.,Preposition: missing preposition
"If I will see him, I will tell him.","If I see him, I will tell him.",Misc: conditional
I like very much chocolate.,I like chocolate very much.,Misc: word order
You entered into the room.,You entered the room.,Preposition: extra preposition
He gos always.,He played always.,Tense: Past to Present
He don't have some cats.,He don't have any cats.,Determiner: some vs any
I don't have some houses.,I don't have any houses.,Determiner: some vs any
I study next month.,I ran next month.,Tense: Past to Present
There is few milk left.,There is little milk left.,Determiner: few vs little
He worked now.,He has worked now.,Tense: Present Perfect to Simple Past
It talked last week.,It has talked last week.,Tense: Present Perfect to Simple Past
They was new movie.,They was a new movie.,Article: missing article
I enjoy to read books.,I enjoy reading books.,Misc: infinitive vs gerund
I like very much chocolate.,I like chocolate very much.,Misc: word order
There is much houses here.,There are many houses here.,Determiner: much vs many
I don't have nothing.,I don't have anything.,Misc: double negative
I like very much chocolate.,I like chocolate very much.,Misc: word order
Its a beautiful day.,It's a beautiful day.,Pronoun: possessive
This is more better.,This is better.,Misc: comparative/superlative
He gos for cat.,He gos into cat.,Preposition: wrong preposition
That book is your's.,That book is yours.,Pronoun: possessive
He talks in teacher.,He talks about teacher.,Preposition: wrong preposition
You wants the information.,You wants information.,Article: extra article
She waits city.,She waits for city.,Preposition: missing preposition
She played often.,She sleeps often.,Tense: Present to Past
It talks into movie.,It talks about movie.,Preposition: wrong preposition
These solution is expensive.,This question is expensive.,Determiner: this vs these
I needs the house.,I needs a house.,Article: wrong article
You talked yesterday.,You have talked yesterday.,Tense: Present Perfect to Simple Past
I don't have many money.,I don't have much money.,Determiner: much vs many
It is the problem.,It is a problem.,Article: wrong article
She talks answer.,She talks with answer.,Preposition: missing preposition
I is the important solution.,I is a important solution.,Article: wrong article
I did it by me.,I did it by myself.,Pronoun: reflexive
It works tomorrow.,It will work tomorrow.,Tense: Future to Present
Me and John went to the store.,John and I went to the store.,Pronoun: subject vs object
Everyone have their books.,Everyone has his or her book.,Pronoun: agreement
We talk problem.,We talk with problem.,Preposition: missing preposition
There is much cats here.,There are many cats here.,Determiner: much vs many
I don't have nothing.,I don't have anything.,Misc: double negative
She is the most smartest.,She is the smartest.,Misc: comparative/superlative
It walked yesterday.,It eats yesterday.,Tense: Present to Past
These teacher is expensive.,This city is expensive.,Determiner: this vs these
I like very much chocolate.,I like chocolate very much.,Misc: word order
Nobody are here.,Nobody is here.,Pronoun: agreement
I good cat.,I good at cat.,Preposition: missing preposition
They entered into the room.,They entered the room.,Preposition: extra preposition
"If I will see him, I will tell him.","If I see him, I will tell him.",Misc: conditional
I did it by me.,I did it by myself.,Pronoun: reflexive
They bought the small idea.,They bought a small idea.,Article: wrong article
This friends are expensive.,These dogs are expensive.,Determiner: this vs these
This schools are expensive.,These friends are expensive.,Determiner: this vs these
I enjoy to read books.,I enjoy reading books.,Misc: infinitive vs gerund
Its a beautiful day.,It's a beautiful day.,Pronoun: possessive
He bought the school.,He bought a school.,Article: wrong article
You work sometimes.,You slept sometimes.,Tense: Past to Present
They write sometimes.,They are writeing sometimes.,Tense: Present Continuous to Simple
Nobody are here.,Nobody is here.,Pronoun: agreement
It plays always.,It wrote always.,Tense: Past to Present
He needs the information.,He needs information.,Article: extra article
"If I was you, I would go.","If I were you, I would go.",Misc: conditional
He waits onto teacher.,He waits for teacher.,Preposition: wrong preposition
We needs the advice.,We needs advice.,Article: extra article
He walked every day.,He has walked every day.,Tense: Present Perfect to Simple Past
Its a beautiful day.,It's a beautiful day.,Pronoun: possessive
He has the information.,He has information.,Article: extra article
This is more better.,This is better.,Misc: comparative/superlative
She walked yesterday.,She gos yesterday.,Tense: Present to Past
You run yesterday.,You are runing yesterday.,Tense: Present Continuous to Simple
She entered into the room.,She entered the room.,Preposition: extra preposition
It waits from problem.,It waits for problem.,Preposition: wrong preposition
You has school.,You has a school.,Article: missing article
He reads next month.,He watched next month.,Tense: Past to Present
"If I was you, I would go.","If I were you, I would go.",Misc: conditional
"If I will see him, I will tell him.","If I see him, I will tell him.",Misc: conditional
Nobody have their books.,Nobody has his or her book.,Pronoun: agreement
You listen with solution.,You listen to solution.,Preposition: wrong preposition
This is more better.,This is better.,Misc: comparative/superlative
She is the most smartest.,She is the smartest.,Misc: comparative/superlative
That book is your's.,That book is yours.,Pronoun: possessive
I did it by me.,I did it by myself.,Pronoun: reflexive
We saw house.,We saw a house.,Article: missing article
It entered into the room.,It entered the room.,Preposition: extra preposition
This cities are expensive.,These books are expensive.,Determiner: this vs these
I don't have many money.,I don't have much money.,Determiner: much vs many
She runs every day.,She will run every day.,Tense: Future to Present
She wants going home.,She wants to go home.,Misc: infinitive vs gerund
He don't have some cats.,He don't have any cats.,Determiner: some vs any
I did it by me.,I did it by myself.,Pronoun: reflexive
You is cat.,You is a cat.,Article: missing article
I entered into the room.,I entered the room.,Preposition: extra preposition
"If I will see him, I will tell him.","If I see him, I will tell him.",Misc: conditional
She bought the mistake.,She bought a mistake.,Article: wrong article
Me and John went to the store.,John and I went to the store.,Pronoun: subject vs object
It read often.,It has read often.,Tense: Present Perfect to Simple Past
Nobody have their books.,Nobody has his or her book.,Pronoun: agreement
I don't have nothing.,I don't have anything.,Misc: double negative
I don't have many money.,I don't have much money.,Determiner: much vs many
He bought an important university.,He bought a important university.,Article: a vs an
They is interested from cat.,They is interested in cat.,Preposition: wrong preposition
I like very much chocolate.,I like chocolate very much.,Misc: word order
These problem is expensive.,This answer is expensive.,Determiner: this vs these
She gos by book.,She gos into book.,Preposition: wrong preposition
It wants the homework.,It wants homework.,Article: extra article
This cars are expensive.,These cats are expensive.,Determiner: this vs these
It went every day.,It studys every day.,Tense: Present to Past
It needs a apple.,It needs an apple.,Article: a vs an
There is much houses here.,There are many houses here.,Determiner: much vs many
He don't have some students.,He don't have any students.,Determiner: some vs any
They wants the homework.,They wants homework.,Article: extra article
She gave the book to John and I.,She gave the book to John and me.,Pronoun: subject vs object
These car is expensive.,This school is expensive.,Determiner: this vs these
She needs the information.,She needs information.,Article: extra article
They watch yesterday.,They talked yesterday.,Tense: Past to Present
It listens onto answer.,It listens to answer.,Preposition: wrong preposition
We talk into solution.,We talk about solution.,Preposition: wrong preposition
I watched tomorrow.,I have watched tomorrow.,Tense: Present Perfect to Simple Past
Me and John went to the store.,John and I went to the store.,Pronoun: subject vs object
We interested cat.,We interested in cat.,Preposition: missing preposition
There is few milk left.,There is little milk left.,Determiner: few vs little
"If I will see him, I will tell him.","If I see him, I will tell him.",Misc: conditional
I talk with cat.,I talk to cat.,Preposition: wrong preposition
It depends to mistake.,It depends on mistake.,Preposition: wrong preposition
He wants movie.,He wants a movie.,Article: missing article
That book is your's.,That book is yours.,Pronoun: possessive
It waits book.,It waits for book.,Preposition: missing preposition
There is few water left.,There is little water left.,Determiner: few vs little
Everyone have their books.,Everyone has his or her book.,Pronoun: agreement
She wants going home.,She wants to go home.,Misc: infinitive vs gerund
They entered into the room.,They entered the room.,Preposition: extra preposition
We study next month.,We are studying next month.,Tense: Present Continuous to Simple
Me and John went to the store.,John and I went to the store.,Pronoun: subject vs object
I don't have many information.,I don't have much information.,Determiner: much vs many
Everyone have their books.,Everyone has his or her book.,Pronoun: agreement
They needs small car.,They needs a small car.,Article: missing article
I have little houses.,I have few houses.,Determiner: few vs little
She studys always.,She is studying always.,Tense: Present Continuous to Simple
Nobody are here.,Nobody is here.,Pronoun: agreement
We interested movie.,We interested in movie.,Preposition: missing preposition
I did it by me.,I did it by myself.,Pronoun: reflexive
She wants going home.,She wants to go home.,Misc: infinitive vs gerund
She wants going home.,She wants to go home.,Misc: infinitive vs gerund
He listens upon movie.,He listens to movie.,Preposition: wrong preposition
This friends are expensive.,These students are expensive.,Determiner: this vs these
I like very much chocolate.,I like chocolate very much.,Misc: word order
She studys sometimes.,She is studying sometimes.,Tense: Present Continuous to Simple
You listen on car.,You listen to car.,Preposition: wrong preposition
She ate sometimes.,She has ate sometimes.,Tense: Present Perfect to Simple Past
You depend of answer.,You depend on answer.,Preposition: wrong preposition
We talk into job.,We talk to job.,Preposition: wrong preposition
He listens city.,He listens to city.,Preposition: missing preposition
She is the most smartest.,She is the smartest.,Misc: comparative/superlative
I like very much chocolate.,I like chocolate very much.,Misc: word order
We wants a easy honest.,We wants an easy honest.,Article: a vs an
You entered into the room.,You entered the room.,Preposition: extra preposition
You saw the information.,You saw information.,Article: extra article
Everyone have their books.,Everyone has his or her book.,Pronoun: agreement
He depends question.,He depends on question.,Preposition: missing preposition
I depend into car.,I depend on car.,Preposition: wrong preposition
We don't have some cats.,We don't have any cats.,Determiner: some vs any
He ran now.,He has ran now.,Tense: Present Perfect to Simple Past
He entered into the room.,He entered the room.,Preposition: extra preposition
I did it by me.,I did it by myself.,Pronoun: reflexive
You is the student.,You is a student.,Article: wrong article
I have little friends.,I have few friends.,Determiner: few vs little
I have little cars.,I have few cars.,Determiner: few vs little
We entered into the room.,We entered the room.,Preposition: extra preposition
They entered into the room.,They entered the room.,Preposition: extra preposition
I don't have many information.,I don't have much information.,Determiner: much vs many
I did it by me.,I did it by myself.,Pronoun: reflexive
Each student have their books.,Each student has his or her book.,Pronoun: agreement
This teachers are expensive.,These dogs are expensive.,Determiner: this vs these
I enjoy to read books.,I enjoy reading books.,Misc: infinitive vs gerund
You worked yesterday.,You have worked yesterday.,Tense: Present Perfect to Simple Past
She read sometimes.,She has read sometimes.,Tense: Present Perfect to Simple Past
I have little dogs.,I have few dogs.,Determiner: few vs little
I don't have many money.,I don't have much money.,Determiner: much vs many
They don't have some dogs.,They don't have any dogs.,Determiner: some vs any
She entered into the room.,She entered the room.,Preposition: extra preposition
It talks yesterday.,It is talking yesterday.,Tense: Present Continuous to Simple
They needs the house.,They needs a house.,Article: wrong article
She wants going home.,She wants to go home.,Misc: infinitive vs gerund
He sleeps next month.,He will sleep next month.,Tense: Future to Present
I don't have many information.,I don't have much information.,Determiner: much vs many
You go last week.,You ran last week.,Tense: Past to Present
She gave the book to John and I.,She gave the book to John and me.,Pronoun: subject vs object
It gos of mistake.,It gos into mistake.,Preposition: wrong preposition
There is much books here.,There are many books here.,Determiner: much vs many
I entered into the room.,I entered the room.,Preposition: extra preposition
I enjoy to read books.,I enjoy reading books.,Misc: infinitive vs gerund
We is good of house.,We is good at house.,Preposition: wrong preposition
It reads next month.,It will read next month.,Tense: Future to Present
She gave the book to John and I.,She gave the book to John and me.,Pronoun: subject vs object
I like very much chocolate.,I like chocolate very much.,Misc: word order
These idea is expensive.,This car is expensive.,Determiner: this vs these
Somebody are here.,Somebody is here.,Pronoun: agreement
He watchs every day.,He read every day.,Tense: Past to Present
She is the most smartest.,She is the smartest.,Misc: comparative/superlative
She wants a expensive umbrella.,She wants an expensive umbrella.,Article: a vs an
He walked next month.,He reads next month.,Tense: Present to Past
Each student have their books.,Each student has his or her book.,Pronoun: agreement
She gave the book to John and I.,She gave the book to John and me.,Pronoun: subject vs object
Do you have some books?,Do you have any books?,Determiner: some vs any
She don't have some friends.,She don't have any friends.,Determiner: some vs any
I bought the homework.,I bought homework.,Article: extra article
There is few water left.,There is little water left.,Determiner: few vs little
There is much houses here.,There are many houses here.,Determiner: much vs many
She bought a big hour.,She bought an big hour.,Article: a vs an
I like very much chocolate.,I like chocolate very much.,Misc: word order
I don't have many information.,I don't have much information.,Determiner: much vs many
He talked next month.,He walks next month.,Tense: Present to Past
They don't have some cities.,They don't have any cities.,Determiner: some vs any
I don't have some books.,I don't have any books.,Determiner: some vs any
They good idea.,They good at idea.,Preposition: missing preposition
Each student have their books.,Each student has his or her book.,Pronoun: agreement
It bought the money.,It bought money.,Article: extra article
You was the student.,You was a student.,Article: wrong article
I don't have nothing.,I don't have anything.,Misc: double negative
You played always.,You have played always.,Tense: Present Perfect to Simple Past
They don't have some cars.,They don't have any cars.,Determiner: some vs any
She sleeps often.,She is sleeping often.,Tense: Present Continuous to Simple
I eat last week.,I will eat last week.,Tense: Future to Present
There is few patience left.,There is little patience left.,Determiner: few vs little
I wants the advice.,I wants advice.,Article: extra article
There is few water left.,There is little water left.,Determiner: few vs little
You walk now.,You played now.,Tense: Past to Present
I like very much chocolate.,I like chocolate very much.,Misc: word order
We don't have some dogs.,We don't have any dogs.,Determiner: some vs any
You is question.,You is a question.,Article: missing article
You wants car.,You wants a car.,Article: missing article
It works next month.,It will work next month.,Tense: Future to Present
This is more better.,This is better.,Misc: comparative/superlative
She listens question.,She listens to question.,Preposition: missing preposition
I studied yesterday.,I watch yesterday.,Tense: Present to Past
I ate yesterday.,I sleep yesterday.,Tense: Present to Past
It gos book.,It gos into book.,Preposition: missing preposition
We read sometimes.,We will read sometimes.,Tense: Future to Present
We entered into the room.,We entered the room.,Preposition: extra preposition
I did it by me.,I did it by myself.,Pronoun: reflexive
They saw the information.,They saw information.,Article: extra article
She is the most smartest.,She is the smartest.,Misc: comparative/superlative
It looks by school.,It looks for school.,Preposition: wrong preposition
I don't have nothing.,I don't have anything.,Misc: double negative
Nobody are here.,Nobody is here.,Pronoun: agreement
I entered into the room.,I entered the room.,Preposition: extra preposition
She has interesting school.,She has a interesting school.,Article: missing article
I have little cats.,I have few cats.,Determiner: few vs little
He is interested with mistake.,He is interested in mistake.,Preposition: wrong preposition
She looks at idea.,She looks for idea.,Preposition: wrong preposition
Its a beautiful day.,It's a beautiful day.,Pronoun: possessive
There is few time left.,There is little time left.,Determiner: few vs little
I did it by me.,I did it by myself.,Pronoun: reflexive
This books are expensive.,These houses are expensive.,Determiner: this vs these
They work always.,They will work always.,Tense: Future to Present
She gave the book to John and I.,She gave the book to John and me.,Pronoun: subject vs object
There is much cities here.,There are many cities here.,Determiner: much vs many
I talk student.,I talk to student.,Preposition: missing preposition
You watched sometimes.,You go sometimes.,Tense: Present to Past
This cats are expensive.,These friends are expensive.,Determiner: this vs these
Each student are here.,Each student is here.,Pronoun: agreement
"If I will see him, I will tell him.","If I see him, I will tell him.",Misc: conditional
We wrote now.,We read now.,Tense: Present to Past
I talked yesterday.,I study yesterday.,Tense: Present to Past
I don't have some cars.,I don't have any cars.,Determiner: some vs any
He listens among question.,He listens to question.,Preposition: wrong preposition
He needs the interesting question.,He needs a interesting question.,Article: wrong article
He don't have some schools.,He don't have any schools.,Determiner: some vs any
"If I will see him, I will tell him.","If I see him, I will tell him.",Misc: conditional
I go now.,I will go now.,Tense: Future to Present
Me and John went to the store.,John and I went to the store.,Pronoun: subject vs object
He read always.,He reads always.,Tense: Present to Past
She gos next month.,She is going next month.,Tense: Present Continuous to Simple
I don't have many water.,I don't have much water.,Determiner: much vs many
They entered into the room.,They entered the room.,Preposition: extra preposition
She gave the book to John and I.,She gave the book to John and me.,Pronoun: subject vs object
He wants interesting cat.,He wants a interesting cat.,Article: missing article
You saw dog.,You saw a dog.,Article: missing article
Do you have some students?,Do you have any students?,Determiner: some vs any
It is the homework.,It is homework.,Article: extra article
They watch every day.,They will watch every day.,Tense: Future to Present
There is few water left.,There is little water left.,Determiner: few vs little
"If I was you, I would go.","If I were you, I would go.",Misc: conditional
You wait among cat.,You wait for cat.,Preposition: wrong preposition
This is more better.,This is better.,Misc: comparative/superlative
I wants a easy apple.,I wants an easy apple.,Article: a vs an
You saw the small house.,You saw a small house.,Article: wrong article
She is interested about city.,She is interested in city.,Preposition: wrong preposition
She is the most smartest.,She is the smartest.,Misc: comparative/superlative
I don't have nothing.,I don't have anything.,Misc: double negative
You entered into the room.,You entered the room.,Preposition: extra preposition
You wants the money.,You wants money.,Article: extra article
This is more better.,This is better.,Misc: comparative/superlative
She gave the book to John and I.,She gave the book to John and me.,Pronoun: subject vs object
She wants going home.,She wants to go home.,Misc: infinitive vs gerund
They write now.,They studied now.,Tense: Past to Present
They needs the money.,They needs money.,Article: extra article
It entered into the room.,It entered the room.,Preposition: extra preposition
Everyone are here.,Everyone is here.,Pronoun: agreement
It gos yesterday.,It read yesterday.,Tense: Past to Present
He looks to job.,He looks at job.,Preposition: wrong preposition
I bought an big book.,I bought a big book.,Article: a vs an
It saw the beautiful movie.,It saw a beautiful movie.,Article: wrong article
That book is your's.,That book is yours.,Pronoun: possessive
It watched next month.,It has watched next month.,Tense: Present Perfect to Simple Past
There is few milk left.,There is little milk left.,Determiner: few vs little
You sleep yesterday.,You watched yesterday.,Tense: Past to Present
I enjoy to read books.,I enjoy reading books.,Misc: infinitive vs gerund
She entered into the room.,She entered the room.,Preposition: extra preposition
I is interested of job.,I is interested in job.,Preposition: wrong preposition
We was the information.,We was information.,Article: extra article
We is beautiful house.,We is a beautiful house.,Article: missing article
She is the most smartest.,She is the smartest.,Misc: comparative/superlative
It studied last week.,It has studied last week.,Tense: Present Perfect to Simple Past
This schools are expensive.,These dogs are expensive.,Determiner: this vs these
I like very much chocolate.,I like chocolate very much.,Misc: word order
He entered into the room.,He entered the room.,Preposition: extra preposition
She entered into the room.,She entered the room.,Preposition: extra preposition
That book is your's.,That book is yours.,Pronoun: possessive
He looks dog.,He looks into dog.,Preposition: missing preposition
These book is expensive.,This idea is expensive.,Determiner: this vs these
There is much students here.,There are many students here.,Determiner: much vs many
Me and John went to the store.,John and I went to the store.,Pronoun: subject vs object
I has an university.,I has a university.,Article: a vs an
You is the information.,You is information.,Article: extra article
He watchs now.,He ran now.,Tense: Past to Present
Nobody are here.,Nobody is here.,Pronoun: agreement
He entered into the room.,He entered the room.,Preposition: extra preposition
We wait in book.,We wait for book.,Preposition: wrong preposition
It studys yesterday.,It will study yesterday.,Tense: Future to Present
She bought the homework.,She bought homework.,Article: extra article
I was the information.,I was information.,Article: extra article
